Iata,Icao,Region,Municipality,Name,IsHub,Latitude,Longitude,Elevation,Type,RunwayLength,RunwayCount,Slots,Passengers,WikiURL,Spalte1,Spalte2,Spalte3,Spalte4
SUJ,LRSM,RO-SM,Satu Mare,Satu Mare Airport,0,47.70330048,22.88570023,405,M,8160,1,9,2104,http://en.wikipedia.org/wiki/Satu_Mare_International_Airport,,,,
SUK,UEBS,RU-SA,Batagay-Alyta,Sakkyryr Airport,0,67.792,130.394,1686,M,2500,1,5,7871,https://en.wikipedia.org/wiki/Sakkyryr_Airport,,,,
SUN,KSUN,US-ID,Hailey,Friedman Memorial Airport,0,43.50439835,-114.2959976,5318,M,6952,1,10,2145,http://en.wikipedia.org/wiki/Friedman_Memorial_Airport,,,,
SUV,NFNA,FJ-C,Nausori,Nausori International Airport,0,-18.04330063,178.5590057,17,M,6129,1,8,1875,http://en.wikipedia.org/wiki/Nausori_International_Airport,,,,
SUY,UENS,RU-SA,Suntar,Suntar Airport,0,62.18500137,117.6350021,452,M,3200,1,5,8982,http://en.wikipedia.org/wiki/Suntar_Airport,,,,
SVB,FMNS,MG-D,,Sambava Airport,0,-14.27859974,50.17470169,20,M,4577,1,6,1937,http://en.wikipedia.org/wiki/Sambava_Airport,,,,
SVJ,ENSH,NO-18,Svolv?ªr,Svolv?ªr Helle Airport,0,68.24330139,14.66919994,27,M,3104,1,5,2229,http://en.wikipedia.org/wiki/Svolv%C3%A6r_Airport%2C_Helle,,,,
SVL,EFSA,FI-IS,Savonlinna,Savonlinna Airport,0,61.94309998,28.94510078,311,M,7546,1,9,1833,http://en.wikipedia.org/wiki/Savonlinna_Airport,,,,
SVQ,LEZL,ES-AN,Sevilla,Sevilla Airport,0,37.41799927,-5.893109798,112,M,11024,1,12,5552,http://en.wikipedia.org/wiki/San_Pablo_Airport,,,,
SWA,ZGOW,CN-44,Shantou,Jieyang Chaoshan International Airport,0,23.552,116.5033,0,M,2800,1,5,9131,https://en.wikipedia.org/wiki/Jieyang_Chaoshan_International_Airport,,,,
SWF,KSWF,US-NY,Newburgh,Stewart International Airport,0,41.5041008,-74.10479736,491,M,11818,2,16,1750,http://en.wikipedia.org/wiki/Stewart_International_Airport,,,,
SXB,LFST,FR-A,Strasbourg,Strasbourg Airport,0,48.53829956,7.628230095,505,M,7874,1,10,3010,http://en.wikipedia.org/wiki/Strasbourg_Airport,,,,
SYM,ZPSM,CN-53,Pu'er,Pu'er Simao Airport,0,22.793301,100.959,0,M,3500,1,5,3912,https://en.wikipedia.org/wiki/Pu%27er_Simao_Airport,,,,
SYO,RJSY,JP-06,Shonai,Shonai Airport,0,38.81219864,139.7870026,86,M,6560,1,8,1875,http://en.wikipedia.org/wiki/Shonai_Airport,,,,
SYQ,MRPV,CR-SJ,San Jose,Tobias Bolanos International Airport,0,9.957050323,-84.13980103,3287,M,5250,1,7,1833,http://en.wikipedia.org/wiki/Tob%C3%ADas_Bola%C3%B1os_International_Airport,,,,
SYX,ZJSY,CN-46,Sanya,Sanya Phoenix International Airport,0,18.30290031,109.4120026,92,L,3400,1,5,23236,http://en.wikipedia.org/wiki/Sanya_Phoenix_International_Airport,,,,
SYY,EGPO,GB-SCT,Stornoway,Stornoway Airport,0,58.21559906,-6.331110001,26,M,7218,2,12,2250,http://en.wikipedia.org/wiki/Stornoway_Airport,,,,
SZA,FNSO,AO-ZAI,Soyo,Soyo Airport,0,-6.141089916,12.37180042,15,M,6857,1,8,1708,http://en.wikipedia.org/wiki/Soyo_Airport,,,,
SZG,LOWS,AT-5,Salzburg,Salzburg Airport,0,47.79330063,13.00430012,1411,M,9022,1,11,2904,http://en.wikipedia.org/wiki/Salzburg_Airport,,,,
SZX,ZGSZ,CN-44,Shenzhen,Shenzhen Bao'an International Airport,0,22.63929939,113.810997,13,L,3400,1,5,32447,http://en.wikipedia.org/wiki/Shenzhen_Bao'an_International_Airport,,,,
SZY,EPSY,PL-WN,Olsztyn,Olsztyn-Mazury Airport,0,53.481899,20.9377,463,M,6562,1,8,2291,https://en.wikipedia.org/wiki/Olsztyn-Mazury_Airport,,,,
SZZ,EPSC,PL-ZP,Goleniow,Szczecin-Goleni??w Solidarno?¢?ç Airport,0,53.58470154,14.90219975,154,M,8202,1,9,2291,http://en.wikipedia.org/wiki/Szczecin-Goleni%C3%B3w_%22Solidarno%C5%9B%C4%87%22_Airport,,,,
TAC,RPVA,PH-LEY,Tacloban City,Daniel Z. Romualdez Airport,0,11.228035,125.027761,10,M,7014,1,8,1666,http://en.wikipedia.org/wiki/Daniel_Z._Romualdez_Airport,,,,
TAE,RKTN,KR-27,Daegu,Daegu Airport,0,35.896872,128.65531,116,M,9039,2,14,2000,http://en.wikipedia.org/wiki/Daegu_Airport,,,,
TAG,RPVT,PH-BOH,Tagbilaran City,Tagbilaran Airport,0,9.665442,123.853533,38,M,5837,1,7,2333,http://en.wikipedia.org/wiki/Tagbilaran_Airport,,,,
TAH,NVVW,VU-TAE,,Tanna Airport,0,-19.45509911,169.223999,19,M,4035,1,6,1666,http://en.wikipedia.org/wiki/White_Grass_Airport,,,,
TAI,OYTZ,YE-TA,Ta'izz,Ta'izz International Airport,0,13.68599987,44.13909912,4838,M,10040,1,11,1875,http://en.wikipedia.org/wiki/Ta'izz_International_Airport,,,,
TAK,RJOT,JP-37,Takamatsu,Takamatsu Airport,0,34.21419907,134.0160065,607,M,8200,1,10,1979,http://en.wikipedia.org/wiki/Takamatsu_Airport,,,,
TAM,MMTM,MX-TAM,Tampico,General Francisco Javier Mina International Airport,0,22.29640007,-97.86589813,80,M,8366,3,14,2354,http://en.wikipedia.org/wiki/General_Francisco_Javier_Mina_International_Airport,,,,
TAO,ZSQD,CN-37,Qingdao,Liuting Airport,0,36.26610184,120.3740005,33,M,3400,1,5,7238,http://en.wikipedia.org/wiki/Qingdao_Liuting_International_Airport,,,,
TAP,MMTP,MX-CHP,Tapachula,Tapachula International Airport,0,14.79430008,-92.37000275,97,M,6562,1,8,2104,http://en.wikipedia.org/wiki/Tapachula_International_Airport,,,,
TAT,LZTT,SK-KI,Poprad,Poprad-Tatry Airport,0,49.07360077,20.24110031,2356,M,8530,1,10,1895,http://en.wikipedia.org/wiki/Poprad-Tatry_Airport,,,,
TAY,EETU,EE-7B,Tartu,Tartu Airport,0,58.30749893,26.69039917,219,M,5902,1,7,1854,http://en.wikipedia.org/wiki/Tartu_Airport,,,,
TBH,RPVU,PH-ROM,Tablas Island,Tugdan Airport,0,12.31099987,122.0849991,10,M,4560,1,6,2104,https://en.wikipedia.org/wiki/Tugdan_Airport,,,,
TBI,MYCB,BS-CI,Cat Island,New Bight Airport,0,24.3153,-75.452301,5,M,5050,1,6,1979,http://en.wikipedia.org/wiki/New_Bight_Airport,,,,
TBJ,DTKA,TN-32,Tabarka,Tabarka 7 Novembre Airport,0,36.97999954,8.876939774,230,M,9416,1,10,1937,http://en.wikipedia.org/wiki/Tabarka_-_7_Novembre_International_Airport,,,,
TBN,KTBN,US-MO,Fort Leonard Wood,Waynesville-St. Robert Regional Forney field,0,37.74160004,-92.14070129,1159,M,6038,1,8,2250,http://en.wikipedia.org/wiki/Waynesville_Regional_Airport_at_Forney_Field,,,,
TBT,SBTT,BR-AM,Tabatinga,Tabatinga Airport,0,-4.255670071,-69.93579865,279,M,7054,1,8,2104,https://en.wikipedia.org/wiki/Tabatinga_International_Airport,,,,
TBU,NFTF,TO-04,Nuku'alofa,Fua'amotu International Airport,0,-21.24119949,-175.1499939,126,M,8795,2,13,2375,http://en.wikipedia.org/wiki/Fua'amotu_International_Airport,,,,
TCA,YTNK,AU-NT,Tennant Creek,Tennant Creek Airport,0,-19.63439941,134.1829987,1236,M,1959,2,5,4925,http://en.wikipedia.org/wiki/Tennant_Creek_Airport,,,,
TCB,MYAT,BS-MH,Treasure Cay,Treasure Cay Airport,0,26.74530029,-77.39129639,8,M,7001,1,9,1854,http://en.wikipedia.org/wiki/Treasure_Cay_Airport,,,,
TCO,SKCO,CO-NAR,Tumaco,La Florida Airport,0,1.81442,-78.7492,8,M,5249,1,7,2208,http://en.wikipedia.org/wiki/La_Florida_Airport_(Colombia),,,,
TCZ,ZUTC,CN-53,Tengchong,Tengchong Tuofeng Airport,0,24.93805556,98.48583333,6250,M,3300,1,5,4816,http://en.wikipedia.org/wiki/Tengchong_Tuofeng_Airport,,,,
TDG,RPMW,PH-SUR,,Tandag Airport,0,9.072110176,126.1709976,16,M,4765,1,6,2208,http://en.wikipedia.org/wiki/Tandag_Airport,,,,
TEE,DABS,DZ-12,T??bessi,Cheikh Larbi T??bessi Airport,0,35.43159866,8.12071991,2661,M,9843,2,13,2250,http://en.wikipedia.org/wiki/T%C3%A9bessa_Airport,,,,
TEQ,LTBU,TR-59,?çorlu,Tekirda? ?çorlu Airport,0,41.13819885,27.91909981,574,M,9844,1,11,1833,http://en.wikipedia.org/wiki/Tekirda%C4%9F_%C3%87orlu_Airport,,,,
TER,LPLA,PT-20,Praia da Vit??ria,Lajes Airport,0,38.761799,-27.090799,180,L,10870,1,13,3541,http://en.wikipedia.org/wiki/Lajes_Field,,,,
TET,FQTT,MZ-T,Tete,Chingozi Airport,0,-16.10479927,33.64020157,525,M,8225,1,9,1666,http://en.wikipedia.org/wiki/Chingozi_Airport,,,,
TFF,SBTF,BR-AM,Tef??,Tef?? Airport,0,-3.382940054,-64.72409821,188,M,7218,1,8,2062,https://en.wikipedia.org/wiki/Tef%C3%A9_Airport,,,,
TFN,GCXO,ES-CN,Tenerife Island,Tenerife Norte Airport,0,28.48270035,-16.34149933,2076,L,11155,1,12,6800,http://en.wikipedia.org/wiki/Los_Rodeos_Airport,,,,
TFS,GCTS,ES-CN,Tenerife Island,Tenerife South Airport,0,28.04450035,-16.57250023,209,L,10499,1,12,31137,http://en.wikipedia.org/wiki/Tenerife_South_Airport,,,,
TGK,URRT,RU-ROS,Taganrog,Taganrog Yuzhny Airport,0,47.1983333,38.8491667,117,M,2759,1,5,8659,https://ru.wikipedia.org/wiki/?ó?????????Ç????-?«?????ï??_(???ì?Ç???????Ç?é),,,,
TGM,LRTM,RO-MS,T?órgu Mure?,Transilvania T?órgu Mure? International Airport,0,46.46770096,24.41250038,963,M,6562,1,8,1729,http://en.wikipedia.org/wiki/T%C3%A2rgu_Mure%C5%9F_International_Airport,,,,
TGO,ZBTL,CN-15,Tongliao,Tongliao Airport,0,43.556702,122.199997,2395,M,2700,1,5,7056,http://en.wikipedia.org/wiki/Tongliao_Airport,,,,
TGR,DAUK,DZ-30,Touggourt,Touggourt Sidi Madhi Airport,0,33.06779861,6.088669777,279,M,9843,1,11,1833,http://en.wikipedia.org/wiki/Touggourt_Sidi_Madhi_Airport,,,,
TGT,HTTG,TZ-25,Tanga,Tanga Airport,0,-5.09236002,39.07120132,129,M,4160,1,6,2312,http://en.wikipedia.org/wiki/Tanga_Airport,,,,
TGU,MHTG,HN-FM,Tegucigalpa,Toncont?¡n International Airport,0,14.06089973,-87.21720123,3294,M,6112,1,8,1916,http://en.wikipedia.org/wiki/Toncont%C3%ADn_International_Airport,,,,
TGZ,MMTG,MX-CHP,Tuxtla Guti??rrez,Angel Albino Corzo International Airport,0,16.56360054,-93.02249908,1499,M,8202,3,14,1666,http://en.wikipedia.org/wiki/Angel_Albino_Corzo_International_Airport,,,,
THE,SBTE,BR-PI,Teresina,Senador Petr??nio Portela Airport,0,-5.059939861,-42.82350159,219,M,7218,1,9,1708,0,,,,
THN,ESGT,SE-Q,Trollh?ñttan,Trollh?ñttan-V?ñnersborg Airport,0,58.31809998,12.34500027,137,M,5610,1,7,2041,http://en.wikipedia.org/wiki/Trollh%C3%A4ttan-V%C3%A4nersborg_Airport,,,,
THQ,CN-0130,CN-62,Tianshui,Tianshui Maijishan Airport,0,34.55939865,105.8600006,3590,M,9186,0,7,2041,http://en.wikipedia.org/wiki/Tianshui_Maijishan_Airport,,,,
THU,BGTL,GL-U-A,Thule,Thule Air Base,0,76.53119659,-68.70320129,251,M,9997,2,14,2000,http://en.wikipedia.org/wiki/Thule_Air_Base,,,,
THX,UOTT,RU-KYA,Turukhansk,Turukhansk Airport,0,65.79720306,87.93530273,128,M,3500,1,5,8503,http://en.wikipedia.org/wiki/Turukhansk_Airport,,,,
TIA,LATI,AL-11,Tirana,Tirana International Airport Mother Teresa,0,41.41469955,19.72060013,126,L,9022,1,10,7500,http://en.wikipedia.org/wiki/Tirana_International_Airport_N%C3%ABn%C3%AB_Tereza,,,,
TIF,OETF,SA-02,Ta?ÇÖif,Ta?ÇÖif Regional Airport,0,21.483001,40.543442,4848,M,12254,2,16,1687,http://en.wikipedia.org/wiki/Ta%E2%80%99if_Regional_Airport,,,,
TIH,NTGC,PF-U-A,,Tikehau Airport,0,-15.1196003,-148.2310028,6,M,3937,1,6,2270,http://en.wikipedia.org/wiki/Tikehau_Airport,,,,
TIJ,MMTJ,MX-BCN,Tijuana,General Abelardo L. Rodr?¡guez International Airport,0,32.54109955,-116.9700012,489,L,9711,1,11,7350,http://en.wikipedia.org/wiki/General_Abelardo_L._Rodr%C3%ADguez_International_Airport,,,,
TIN,DAOF,DZ-37,Tindouf,Tindouf Airport,0,27.7003994,-8.167099953,1453,M,9840,2,13,2041,http://en.wikipedia.org/wiki/Tindouf_Airport,,,,
TIU,NZTU,NZ-CAN,,Timaru Airport,0,-44.30279922,171.2250061,89,M,4200,3,11,2208,http://en.wikipedia.org/wiki/Richard_Pearse_Airport,,,,
TIV,LYTV,ME-19,Tivat,Tivat Airport,0,42.40470123,18.72330093,20,M,8208,1,9,1833,http://en.wikipedia.org/wiki/Tivat_Airport,,,,
TJK,LTAW,TR-60,Tokat,Tokat Airport,0,40.30743027,36.36740875,1831,M,5298,1,7,1937,http://en.wikipedia.org/wiki/Tokat_Airport,,,,
TKD,DGTK,GH-WP,Sekondi-Takoradi,Takoradi Airport,0,4.89605999,-1.774760008,21,M,5745,1,7,2166,http://en.wikipedia.org/wiki/Takoradi_Airport,,,,
TKK,PTKK,FM-TRK,Weno Island,Chuuk International Airport,0,7.461870193,151.8430023,11,M,6006,1,8,1833,http://en.wikipedia.org/wiki/Chuuk_International_Airport,,,,
TKN,RJKN,JP-46,Tokunoshima,Tokunoshima Airport,0,27.83639908,128.8809967,17,M,6561,1,8,2354,http://en.wikipedia.org/wiki/Tokunoshima_Airport,,,,
TKP,NTGT,PF-U-A,,Takapoto Airport,0,-14.70950031,-145.2460022,12,M,3018,1,5,1729,http://en.wikipedia.org/wiki/Takapoto_Airport,,,,
TKS,RJOS,JP-36,Tokushima,Tokushima Airport/JMSDF Air Base,0,34.132801,134.606995,26,M,6560,1,8,1708,"https://en.wikipedia.org/wiki/Tokushima_Airport, https://ja.wikipedia.org/wiki/%E5%BE%B3%E5%B3%B6%E9%A3%9B%E8%A1%8C%E5%A0%B4#.E8",,,,
TKU,EFTU,FI-LS,Turku,Turku Airport,0,60.51409912,22.26280022,161,M,8202,1,9,2250,http://en.wikipedia.org/wiki/Turku_Airport,,,,
TKX,NTKR,PF-U-A,,Takaroa Airport,0,-14.45580006,-145.0249939,13,M,3452,1,5,2083,http://en.wikipedia.org/wiki/Takaroa_Airport,,,,
TLC,MMTO,MX-MEX,Toluca,Licenciado Adolfo Lopez Mateos International Airport,0,19.33709908,-99.56600189,8466,M,13780,1,14,1750,http://en.wikipedia.org/wiki/Lic._Adolfo_L%C3%B3pez_Mateos_International_Airport,,,,
TLE,FMST,MG-U,,Toliara Airport,0,-23.38339996,43.72850037,29,M,6562,2,10,1937,http://en.wikipedia.org/wiki/Toliara_Airport,,,,
TLL,EETN,EE-37,Tallinn,Lennart Meri Tallinn Airport,0,59.41329956,24.83279991,131,L,10072,1,11,7837,http://en.wikipedia.org/wiki/Tallinn_Airport,,,,
TLM,DAON,DZ-13,Tlemcen,Zenata ?Çô Messali El Hadj Airport,0,35.01670074,-1.450000048,814,M,8530,1,9,2041,http://en.wikipedia.org/wiki/Zenata_Airport,,,,
TLN,LFTH,FR-U,Toulon/Hy?¿res/Le Palyvestre,Toulon-Hy?¿res Airport,0,43.09730148,6.146029949,7,M,6955,2,12,1958,http://en.wikipedia.org/wiki/Toulon-Hy%C3%A8res_Airport,,,,
TLY,UHWP,RU-PRI,Plastun,Plastun Airport,0,44.81499863,136.2920074,66,M,2500,1,5,8589,0,,,,
TML,DGLE,GH-NP,Tamale,Tamale Airport,0,9.557189941,-0.863214016,553,M,7999,1,10,1729,http://en.wikipedia.org/wiki/Tamale_Airport,,,,
TMM,FMMT,MG-A,,Toamasina Airport,0,-18.10950089,49.39250183,22,M,7218,1,9,2312,http://en.wikipedia.org/wiki/Toamasina_Airport,,,,
TMP,EFTP,FI-LS,Tampere / Pirkkala,Tampere-Pirkkala Airport,0,61.41410065,23.60440063,390,M,8858,1,10,1854,http://en.wikipedia.org/wiki/Tampere-Pirkkala_Airport,,,,
TMR,DAAT,DZ-11,Tamanrasset,Aguenar ?Çô Hadj Bey Akhamok Airport,0,22.81150055,5.451079845,4518,M,11811,2,15,2020,http://en.wikipedia.org/wiki/Tamanrasset_Airport,,,,
TMS,FPST,ST-S,S?úo Tom??,S?úo Tom?? International Airport,0,0.37817499,6.712150097,33,M,7283,1,8,2291,http://en.wikipedia.org/wiki/S%C3%A3o_Tom%C3%A9_International_Airport,,,,
TMT,SBTB,BR-PA,Oriximin?í,Trombetas Airport,0,-1.489599943,-56.39680099,287,M,5249,1,7,2125,https://en.wikipedia.org/wiki/Porto_Trombetas_Airport,,,,
TMW,YSTW,AU-NSW,Tamworth,Tamworth Airport,0,-31.08390045,150.8470001,1334,M,2200,4,5,4447,http://en.wikipedia.org/wiki/Tamworth_Airport,,,,
TMX,DAUT,DZ-01,Timimoun,Timimoun Airport,0,29.2371006,0.276033014,1027,M,9843,1,11,1666,http://en.wikipedia.org/wiki/Timimoun_Airport,,,,
TNA,ZSJN,CN-37,Jinan,Yaoqiang Airport,0,36.85720062,117.2160034,76,L,3600,1,5,19934,http://en.wikipedia.org/wiki/Jinan_Yaoqiang_Airport,,,,
TND,MUTD,CU-07,Trinidad,Alberto Delgado Airport,0,21.78829956,-79.99720001,125,M,5909,1,7,2000,0,,,,
TNE,RJFG,JP-46,Tanegashima,New Tanegashima Airport,0,30.60510063,130.9909973,768,M,6544,1,8,1833,http://en.wikipedia.org/wiki/New_Tanegashima_Airport,,,,
TNG,GMTT,MA-TNG,Tangier,Ibn Batouta Airport,0,35.72689819,-5.916890144,62,M,11483,2,15,1770,http://en.wikipedia.org/wiki/Tangier_Ibn_Battouta_Airport,,,,
TNH,ZYTN,CN-22,Tonghua,Tonghua Sanyuanpu Airport,0,42.25388889,125.7033333,1200,M,3200,1,5,6289,http://en.wikipedia.org/wiki/Tonghua_Sanyuanpu_Airport,,,,
TNN,RCNN,TW-TNN,Tainan City,Tainan Airport,0,22.9503994,120.2060013,63,M,10007,2,14,2229,http://en.wikipedia.org/wiki/Tainan_Airport,,,,
TNR,FMMI,MG-T,Antananarivo,Ivato Airport,0,-18.7968998,47.47880173,4198,M,10171,1,11,2418,http://en.wikipedia.org/wiki/Ivato_Airport,,,,
TOE,DTTZ,TN-72,Tozeur,Tozeur Nefta International Airport,0,33.93970108,8.110560417,287,M,10581,1,11,2250,http://en.wikipedia.org/wiki/Nefta_Airport,,,,
TOF,UNTT,RU-TOM,Tomsk,Bogashevo Airport,0,56.38029861,85.20829773,597,M,2500,1,5,1861,http://en.wikipedia.org/wiki/Bogashevo_Airport,,,,
TOM,GATB,ML-7,Timbuktu,Timbuktu Airport,0,16.73049927,-3.007580042,863,M,6923,1,8,2375,http://en.wikipedia.org/wiki/Timbuktu_Airport,,,,
TOS,ENTC,NO-19,Troms??,Troms?? Airport,0,69.6832962,18.91889954,31,L,7848,1,9,5687,http://en.wikipedia.org/wiki/Troms%C3%B8_Airport,,,,
TOU,NWWU,NC-U-A,Touho,Touho Airport,0,-20.79000092,165.2590027,10,M,3609,1,6,1729,http://en.wikipedia.org/wiki/Touho_Airport,,,,
TOY,RJNT,JP-16,Toyama,Toyama Airport,0,36.64830017,137.1880035,95,M,6562,1,8,2291,http://en.wikipedia.org/wiki/Toyama_Airport,,,,
TPQ,MMEP,MX-NAY,Tepic,Amado Nervo National Airport,0,21.4195,-104.843002,3020,M,7546,1,9,2312,http://en.wikipedia.org/wiki/Amado_Nervo_National_Airport,,,,
TPS,LICT,IT-82,Trapani (TP),Vincenzo Florio Airport Trapani-Birgi,0,37.9114,12.488,25,M,8852,1,10,2420,http://en.wikipedia.org/wiki/Vincenzo_Florio_Airport_Trapani%E2%80%93Birgi,,,,
TRA,RORT,JP-47,Tarama,Tarama Airport,0,24.65390015,124.6750031,36,M,4921,1,6,2375,http://en.wikipedia.org/wiki/Tarama_Airport,,,,
TRC,MMTC,MX-COA,Torre??n,Francisco Sarabia International Airport,0,25.56830025,-103.4110031,3688,M,9022,2,13,2229,http://en.wikipedia.org/wiki/Francisco_Sarabia_International_Airport,,,,
TRE,EGPU,GB-SCT,Balemartine,Tiree Airport,0,56.49919891,-6.869170189,38,M,4600,3,11,2145,http://en.wikipedia.org/wiki/Tiree_Airport,,,,
TRF,ENTO,NO-07,Torp,Sandefjord Airport,0,59.18669891,10.25860024,286,M,9675,1,11,3545,http://en.wikipedia.org/wiki/Sandefjord_Airport%2C_Torp,,,,
TRG,NZTG,NZ-BOP,Tauranga,Tauranga Airport,0,-37.6719017,176.1959991,13,M,5988,5,18,2145,http://en.wikipedia.org/wiki/Tauranga_Airport,,,,
TRN,LIMF,IT-21,Torino,Turin Airport,0,45.200802,7.64963,989,L,10827,1,12,9808,http://en.wikipedia.org/wiki/Turin_International_Airport,,,,
TRS,LIPQ,IT-36,Trieste,Trieste?ÇôFriuli Venezia Giulia Airport,0,45.827499,13.4722,39,M,9843,1,11,2062,http://en.wikipedia.org/wiki/Trieste_%E2%80%93_Friuli_Venezia_Giulia_Airport,,,,
TRW,NGTA,KI-G,Tarawa,Bonriki International Airport,0,1.381639957,173.1470032,9,M,6598,1,8,1666,http://en.wikipedia.org/wiki/Bonriki_International_Airport,,,,
TSA,RCSS,TW-TPE,Taipei City,Taipei Songshan Airport,0,25.06940079,121.552002,18,M,8547,1,10,3416,http://en.wikipedia.org/wiki/Taipei_Songshan_Airport,,,,
TSF,LIPH,IT-34,Treviso,Treviso-Sant'Angelo Airport,0,45.648399,12.1944,59,L,7941,1,10,7362,http://en.wikipedia.org/wiki/Treviso_Airport,,,,
TSJ,RJDT,JP-42,Tsushima,Tsushima Airport,0,34.28490067,129.3309937,213,M,6234,1,7,1875,http://en.wikipedia.org/wiki/Tsushima_Airport,,,,
TSR,LRTR,RO-TM,Timi?oara,Timi?oara Traian Vuia Airport,0,45.80989838,21.33790016,348,M,11483,1,12,2354,http://en.wikipedia.org/wiki/Traian_Vuia_International_Airport,,,,
TSV,YBTL,AU-QLD,Townsville,Townsville Airport,0,-19.25250053,146.7649994,18,M,2438,2,5,5784,http://en.wikipedia.org/wiki/Townsville_Airport,,,,
TTA,GMAT,MA-TNT,Tan Tan,Tan Tan Airport,0,28.44820023,-11.16129971,653,M,6562,1,8,1729,http://en.wikipedia.org/wiki/Tan_Tan_Airport,,,,
TTB,LIET,IT-88,Arbatax,Tortol?¼ Airport,0,39.9188,9.68298,23,M,3898,1,5,1770,http://en.wikipedia.org/wiki/Tortol%C3%AC_Airport,,,,
TTG,SAST,AR-A,Tartagal,General Enrique Mosconi Airport,0,-22.6196003,-63.79370117,1472,M,4921,1,6,1812,0,,,,
TTJ,RJOR,JP-31,Tottori,Tottori Airport,0,35.53010178,134.1670074,65,M,6562,1,8,1895,http://en.wikipedia.org/wiki/Tottori_Airport,,,,
TTN,KTTN,US-NJ,Trenton,Trenton Mercer Airport,0,40.27669907,-74.81349945,213,M,6006,2,12,1812,http://en.wikipedia.org/wiki/Trenton-Mercer_Airport,,,,
TTQ,MRAO,CR-L,Roxana,Aerotortuguero Airport,0,10.42,-83.6095,92,M,3118,1,5,2270,0,,,,
TTT,RCFN,TW-TTT,Taitung City,Taitung Airport,0,22.75499916,121.1019974,143,M,7999,1,9,2145,http://en.wikipedia.org/wiki/Taitung_Airport,,,,
TUA,SETU,EC-C,Tulc?ín,Teniente Coronel Luis a Mantilla Airport,0,0.809505999,-77.70809937,9649,M,8071,1,9,2395,http://en.wikipedia.org/wiki/Teniente_Coronel_Luis_a_Mantilla_International_Airport,,,,
TUB,NTAT,PF-U-A,,Tubuai Airport,0,-23.36540031,-149.5240021,7,M,4921,1,6,2208,http://en.wikipedia.org/wiki/Tubuai_-_Mataura_Airport,,,,
TUC,SANT,AR-T,San Miguel de Tucum?ín,Teniente Benjamin Matienzo Airport,0,-26.8409,-65.104897,1493,M,11483,1,12,1833,http://en.wikipedia.org/wiki/Benjam%C3%ADn_Matienzo_International_Airport,,,,
TUD,GOTT,SN-TC,Tambacounda,Tambacounda Airport,0,13.73680019,-13.65310001,161,M,6562,1,8,2229,http://en.wikipedia.org/wiki/Tambacounda_Airport,,,,
TUF,LFOT,FR-F,Tours/Val de Loire (Loire Valley),Tours-Val-de-Loire Airport,0,47.43220139,0.727605999,357,M,7887,1,10,2187,http://en.wikipedia.org/wiki/Tours_Loire_Valley_Airport,,,,
TUG,RPUT,PH-CAG,Tuguegarao City,Tuguegarao Airport,0,17.64336768,121.7331505,70,M,6455,1,8,2062,http://en.wikipedia.org/wiki/Tuguegarao_Airport,,,,
TUI,OETR,SA-08,Turaif,Turaif Domestic Airport,0,31.692188,38.731544,2803,M,9843,1,11,1770,http://en.wikipedia.org/wiki/Turaif_Domestic_Airport,,,,
TUK,OPTU,PK-BA,Turbat,Turbat International Airport,0,25.9864006,63.03020096,498,M,6000,1,8,2166,http://en.wikipedia.org/wiki/Turbat_Airport,,,,
TUO,NZAP,NZ-WKO,Taupo,Taupo Airport,0,-38.73970032,176.0839996,1335,M,4547,2,9,1916,http://en.wikipedia.org/wiki/Taupo_Airport,,,,
TUP,KTUP,US-MS,Tupelo,Tupelo Regional Airport,0,34.26810074,-88.76989746,346,M,6500,1,9,2125,http://en.wikipedia.org/wiki/Tupelo_Regional_Airport,,,,
TUR,SBTU,BR-PA,Tucuru?¡,Tucuru?¡ Airport,0,-3.786010027,-49.72029877,830,M,6562,1,8,2250,https://en.wikipedia.org/wiki/Tucuru%C3%AD_Airport,,,,
TUU,OETB,SA-07,Tabuk,Tabuk Airport,0,28.3654,36.6189,2551,M,10991,2,15,2125,http://en.wikipedia.org/wiki/Tabuk_Regional_Airport,,,,
TVC,KTVC,US-MI,Traverse City,Cherry Capital Airport,0,44.74140167,-85.5821991,624,M,6501,3,14,1791,http://en.wikipedia.org/wiki/Cherry_Capital_Airport,,,,
TVS,ZBTS,CN-13,Tangshan,Tangshan Sann??he Airport,0,39.71780014,118.0026245,50,M,2900,1,5,9022,http://en.wikipedia.org/wiki/Tangshan_Air_Base,,,,
TWF,KTWF,US-ID,Twin Falls,Joslin Field Magic Valley Regional Airport,0,42.4818,-114.487999,4154,M,8703,2,14,2083,http://en.wikipedia.org/wiki/Magic_Valley_Regional_Airport,,,,
TWT,RPMN,PH-TAW,,Sanga Sanga Airport,0,5.046991,119.742996,15,M,5100,1,7,1916,http://en.wikipedia.org/wiki/Sanga-Sanga_Airport,,,,
TXK,KTXK,US-AR,Texarkana,Texarkana Regional Webb Field,0,33.45370102,-93.99099731,390,M,6601,2,12,2312,http://en.wikipedia.org/wiki/Texarkana_Regional_Airport,,,,
TXN,ZSTX,CN-34,Huangshan,Tunxi International Airport,0,29.73329926,118.2559967,0,M,3500,1,5,5191,http://en.wikipedia.org/wiki/Huangshan_Tunxi_International_Airport,,,,
